	0
0	0.0
1	0.0
2	0.0
3	1.7763568394002505e-15
4	1.4210854715202004e-14
5	2.220446049250313e-16
6	1.4210854715202004e-14
7	2.842170943040401e-14
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	7.105427357601002e-15
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	1.1368683772161603e-13
28	5.684341886080802e-14
29	0.0
30	0.0
31	2.842170943040401e-14
32	0.0
33	0.0
34	0.0
35	0.0
36	0.0
37	0.0
38	0.0
39	0.0
40	1.4210854715202004e-14
41	7.105427357601002e-15
42	0.0
43	0.0
44	0.0
45	0.0
46	0.0
47	0.0
48	0.0
49	0.0
50	0.0
51	5.684341886080802e-14
52	5.684341886080802e-14
53	0.0
54	0.0
55	0.0
56	0.0
57	0.0
58	0.0
59	0.0
60	0.0
61	0.0
62	0.0
63	5.684341886080802e-14
64	7.105427357601002e-15
65	0.0
66	0.0
67	0.0
68	7.105427357601002e-15
69	1.4210854715202004e-14
70	0.0
71	0.0
72	0.0
73	0.0
74	0.0
75	0.0
76	0.0
77	0.0
78	0.0
79	0.0
80	0.0
81	1.7763568394002505e-15
82	7.105427357601002e-15
83	0.0
84	0.0
85	0.0
86	0.0
87	1.1368683772161603e-13
88	5.684341886080802e-14
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	1.4210854715202004e-14
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	1.7763568394002505e-15
101	0.0
102	0.0
103	5.684341886080802e-14
104	0.0
105	0.0
106	0.0
107	1.4210854715202004e-14
108	0.0
109	0.0
110	0.0
111	0.0
112	0.0
113	0.0
114	0.0
115	3.552713678800501e-15
116	0.0
117	0.0
118	0.0
119	0.0
120	0.0
121	0.0
122	2.842170943040401e-14
123	0.0
124	0.0
125	0.0
126	0.0
127	0.0
