Datetime,Rsl_1,Rsl_2,Rsl_3,flow_spill_Rsl_1,flow_spill_Rsl_2,flow_spill_Rsl_3
2006-07-22T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,-1.1159898583304563e-12
2006-07-23T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-07-24T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-07-25T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-07-26T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-07-27T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-07-28T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-07-29T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-07-30T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-07-31T00:00:00,21449.340000000004,73719.594,41010.19200000001,0.0,0.0,0.0
2006-08-01T00:00:00,21835.440000000002,75149.334,41838.55200000001,0.0,0.0,0.0
2006-08-02T00:00:00,22766.137404572866,78451.79714772169,44277.58989091997,613.7025954271369,2416.496852278308,874.4021090800452
2006-08-03T00:00:00,22182.719855063468,76154.54977992762,43446.337848698655,583.417549509397,2297.2473677940748,831.2520422213139
2006-08-04T00:00:00,21425.870923626568,73179.9444254472,42357.53956995273,756.8489314368998,2974.605354480413,1088.7982787459255
2006-08-05T00:00:00,20728.732704286624,70446.17839074574,41343.45021518433,697.1382193399423,2733.7660347014616,1014.0893547683957
2006-08-06T00:00:00,19920.272113734445,67288.05851423794,40146.12541935953,808.4605905521786,3158.119876507797,1197.3247958248012
2006-08-07T00:00:00,19121.107365814845,64181.78616681399,38936.71975505317,799.1647479195998,3106.272347423954,1209.405664306356
2006-08-08T00:00:00,18349.429259667097,61208.40781241453,37728.06124611506,771.6781061477501,2973.3783543994577,1208.6585089381097
2006-08-09T00:00:00,17453.862425996784,57808.48880201928,36252.08889850118,895.5668336703119,3399.9190103952515,1475.9723476138831
2006-08-10T00:00:00,16730.81029070689,55140.431343721415,34960.77746789184,723.0521352898926,2668.0574582978697,1291.311430609335
2006-08-11T00:00:00,16340.940000000004,54803.034,33767.703752956346,389.87029070688715,337.3973437214146,1193.073714935494
2006-08-12T00:00:00,16340.940000000004,54803.034,32340.037323328932,-1.1866221278450421e-12,0.0,1427.6664296274134
2006-08-13T00:00:00,16340.940000000004,54803.034,31259.51022948244,0.0,0.0,1080.5270938464935
2006-08-14T00:00:00,16340.940000000004,54803.034,30427.44076342538,0.0,0.0,832.0694660570575
2006-08-15T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,377.0887634253727
2006-08-16T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,3.2208314898651143e-12
2006-08-17T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-18T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-19T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-20T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-21T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-22T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-23T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-24T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-25T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-26T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-27T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-08-28T00:00:00,20914.740000000005,71739.954,39863.232,0.0,0.0,0.0
2006-08-29T00:00:00,20914.740000000005,71739.954,39863.232,0.0,0.0,0.0
2006-08-30T00:00:00,20089.378142192047,68490.03401229758,38687.25823909518,825.3618578079569,3249.919987702419,1175.9737609048227
2006-08-31T00:00:00,19539.96558021747,66326.68365903784,37904.45642837239,549.4125619745738,2163.3503532597433,782.8018107227887
2006-09-01T00:00:00,22444.367791673165,76965.53964243925,44505.89229007077,540.7977885443061,2118.8240165985885,790.0841383016214
2006-09-02T00:00:00,22013.646122957,75286.8919843361,43610.65552799865,430.72166871616287,1678.647658103151,895.2367620721204
2006-09-03T00:00:00,21530.330288973902,73395.38163577556,42624.79264170657,483.31583398309726,1891.5103485605493,985.8628862920821
2006-09-04T00:00:00,27557.542448821947,95623.43910343072,55600.02915586418,447.38784015195466,1747.5825323448312,915.7234858423902
2006-09-05T00:00:00,26965.990106710527,93319.08187943402,54383.06183841042,591.5523421114177,2304.357223996702,1216.9673174537625
2006-09-06T00:00:00,26558.757585266238,91722.99006750422,53564.33281465873,407.2325214442916,1596.0918119298012,818.7290237516894
2006-09-07T00:00:00,26251.971047137056,90521.93532724696,52946.53694420849,306.7865381291803,1201.0547402572588,617.7958704502412
2006-09-08T00:00:00,25845.71254036866,88932.95200078943,52127.22664864626,406.2585067683994,1588.983326457524,819.3102955622285
2006-09-09T00:00:00,25386.241590991645,87137.21531173501,51199.50570491356,459.470949377013,1795.7366890544242,927.7209437327048
2006-09-10T00:00:00,24806.7506033582,84874.89194619433,50027.48316046498,579.4909876334448,2262.3233655406775,1172.0225444485798
2006-09-11T00:00:00,24153.568697222978,82328.39772046644,48703.658904131036,653.1819061352215,2546.494225727891,1323.824256333946
2006-09-12T00:00:00,23674.944595254256,80466.14358573467,47730.7376903203,478.6241019687214,1862.2541347317742,972.9212138107363
2006-09-13T00:00:00,22798.85791982304,77066.47432471337,45942.95638495404,876.086675431216,3399.669261021291,1787.7813053662535
2006-09-14T00:00:00,21735.31848077062,72948.83196935988,43765.53233373908,1063.5394390524195,4117.6423553535005,2177.424051214962
2006-09-15T00:00:00,20873.666640674557,69630.14262123925,41988.63107365495,861.6518400960615,3318.6893481206153,1776.9012600841334
2006-09-16T00:00:00,19983.680119547746,66233.5392156041,40131.062544298635,889.9865211268097,3396.6034056351427,1857.568529356311
2006-09-17T00:00:00,19102.125947590714,62906.655504877715,38265.45956271432,881.5541719570307,3326.883710726391,1865.6029815843153
2006-09-18T00:00:00,20190.86779163449,66936.15981366833,40589.86840943699,752.6581559562248,2789.255691209381,1626.2311532773313
2006-09-19T00:00:00,19488.081540930936,64415.01532239406,39020.50723600968,702.7862507035545,2521.1444912742736,1569.3611734273056
2006-09-20T00:00:00,18901.00907831564,62233.85699099792,37758.237581899404,587.072462615295,2181.15833139614,1262.2696541102791
2006-09-21T00:00:00,18330.19613916043,60146.264333365965,36507.67134088571,570.8129391552097,2087.5926576319575,1250.5662410136943
2006-09-22T00:00:00,17870.994205782386,58510.07565514636,35475.119665418366,459.2019333780429,1636.1886782196125,1032.5516754673467
2006-09-23T00:00:00,17447.860480867497,57066.87596838387,34486.37439437041,423.1337249148883,1443.1996867624832,988.7452710479547
2006-09-24T00:00:00,17043.310826293993,55773.644515661035,33493.699157412215,404.5496545735032,1293.2314527228377,992.6752369581957
2006-09-25T00:00:00,18614.12613273021,61877.237928452174,36699.59963793478,329.98469356378445,935.1265872088638,872.179519477435
2006-09-26T00:00:00,18356.350118493145,61348.048759731464,35918.959904792864,257.77601423706284,529.1891687207101,780.6397331419107
