Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
2000-11-01;74211.44056;122829.2577;71892.70842;102631.0909;175280.0632;98715.22558;42875.04566;100531.7323;25923.42004;69077.2934;46732.68557;149167.3551;41070.74887;27089.50907;12909.2432;50851.06033;54945.26625;49042.13351;68673.32697;141406.5764;98662.43649;80650.778;115122.9869;48897.65149;122832.7821;39913.73643;76846.13961;176453.6476;128804.8729;95405.00093;13939.30037;49281.81839;36930.35129;27489.74106
2000-12-01;71026.29912;119323.8477;67389.88674;98071.1832;167802.8412;94848.91462;39380.1654;95451.53296;24365.70007;66382.50536;44362.35684;144752.7019;38575.90663;25254.30599;11976.27059;48558.48134;52961.36391;46968.08803;69765.39105;138466.2133;93962.2761;82560.31501;111936.9088;48033.84447;116111.6213;39753.9956;73215.73323;170658.1836;126670.8784;97935.17911;12374.49534;44299.7573;35511.35597;27840.99323
2001-01-01;71216.54069;118349.8807;67366.92971;97420.06302;168961.6714;94533.63812;39718.64274;96226.1045;24375.57811;66477.69374;44817.24393;144567.4524;38319.97561;24659.39793;11295.64784;48179.31622;51655.84534;46144.64772;65702.81804;133227.3957;91171.60928;77003.66682;112158.5612;46143.29588;121313.2635;37042.65967;73541.93544;166481.9455;123816.6658;92531.31223;12386.07524;44439.31961;35537.92673;26088.51993
2001-02-01;70774.93054;118187.3227;67290.44008;96497.18571;168921.3481;93110.11899;39036.44487;94328.02427;23951.88457;65667.51587;44331.76678;143002.5412;37225.80412;23656.09378;10639.86625;47193.50141;53992.17546;48411.60947;70483.94358;131612.0031;90999.73333;77060.09138;111276.6831;44898.07874;112991.9568;40819.19682;72793.53637;163646.7648;121526.2159;90310.83906;11892.96386;42747.59674;34962.86407;25840.39575
2001-03-01;83244.43924;136070.1081;83054.00455;120042.1346;196233.7117;112307.5815;60097.50867;123005.952;34358.59215;81284.38711;63127.7976;170060.9629;53292.47618;35847.50381;19215.35021;59735.4877;63849.18898;58467.60803;81464.21957;166465.9939;114806.3586;94232.29516;125929.6682;59838.64224;151739.778;51537.60821;89051.49043;206839.443;145590.462;108496.155;19972.96469;69583.50188;41615.58598;30789.77144
2001-04-01;99827.98719;163263.0758;109291.9503;143053.6405;236959.4679;128978.6317;77659.81776;144729.4021;42583.07379;94335.03449;80772.44782;195112.9453;67391.61515;47020.62124;26912.26441;70414.16484;90497.9521;77120.65351;101289.937;196510.6831;146334.5883;116947.5081;140615.0297;70053.39915;188323.4203;70892.32278;105369.9149;241545.7363;164966.6948;120853.8913;27935.38982;94323.90118;48233.71786;34655.48131
2001-05-01;157206.7273;246065.9387;183196.3799;242295.3858;355834.0144;216058.5022;168856.1125;266090.8971;86492.63406;161151.7825;168113.9753;320073.5228;138286.6995;101151.5093;62542.46825;123742.6239;143834.218;136114.1489;175898.8745;342692.6494;245983.7279;199947.9318;207444.9291;123905.5198;380096.1399;134569.042;174587.4417;408726.3865;258763.4583;181344.6772;71917.42283;216854.3072;82256.09457;53184.85093
2001-06-01;151925.124;241902.1568;186548.0576;211075.5479;352544.0383;181235.9898;135464.2067;215348.6545;68204.24563;132168.7074;133956.3911;271785.1474;111264.0145;78251.07586;47076.97338;101890.1414;159098.5215;127220.1573;154706.4632;283514.0977;232925.8096;181612.4561;182250.0193;100878.2748;290514.3156;127909.235;173119.1189;416663.3477;251263.0041;152154.0281;49504.26257;164302.2301;67745.08578;45925.699
2001-07-01;159635.6435;250285.3775;181501.2002;233727.0412;353346.8342;206465.2555;157044.2562;248674.726;80196.72614;150644.8317;156443.5691;306111.1121;130492.3278;96314.12816;60936.39851;117406.1079;147864.796;130629.8189;169352.6409;331333.1938;239576.3662;202721.0827;199079.9196;120254.498;353624.5394;149600.8977;195996.3298;509889.7533;289020.4818;189269.665;63984.25645;199157.4183;77866.88483;53251.60253
2001-08-01;105951.7246;171656.3773;118625.2105;151825.2139;252203.4745;133485.0358;82708.84287;148154.8802;43819.44609;95640.65444;80492.53625;199289.6855;70969.07312;48510.96439;27429.02443;73602.63759;99117.77258;81799.45493;104914.4146;205590.6966;157294.2199;132782.0148;143438.4012;72290.30192;193459.5373;78353.78623;107883.8035;247839.7951;169755.2555;123740.2003;28222.79683;98427.40095;49682.02382;36653.8893
