Date,U_init,etp,prec,FC,WP,zr,dg,kc,area
2000-08-01,24.20388891,114.152,52.29069,22,11,147.5,1.51,0.5902725,1099800
2000-09-01,22.64581326,126.682,109.39663,22,11,147.5,1.51,0.57176745,1099800
2000-10-01,23.68182423,140.426,12.909024,22,11,147.5,1.51,0.83655274,1099800
2000-11-01,18.89055967,143.613,154.6867,22,11,147.5,1.51,0.83655274,1099800
2000-12-01,21.18978394,139.371,138.8601,22,11,147.5,1.51,0.83655274,1099800
2001-01-01,22.0,138.583,193.2537,22,11,147.5,1.51,0.84312487,1099800
2001-02-01,22.0,115.537,143.7485,22,11,147.5,1.51,0.84312487,1099800
2001-03-01,27.93375423,115.044,88.8936,22,11,147.5,1.51,0.9121561,1099800
2001-04-01,26.78412017,88.3034,8.077716,22,11,147.5,1.51,0.89159614,1099800
2001-05-01,23.03442819,72.3004,46.35356,22,11,147.5,1.51,0.86490184,1099800
2001-06-01,22.2922574,68.0757,22.470679,22,11,147.5,1.51,0.8372531,1099800
2001-07-01,20.51700922,84.0036,12.60661,22,11,147.5,1.51,0.8340082,1099800
2001-08-01,18.01577221,113.601,28.044826,22,11,147.5,1.51,0.7721727,1099800
2001-09-01,16.10411193,126.294,31.33027,22,11,147.5,1.51,0.6958074,1099800
2001-10-01,15.00554215,140.195,103.96508,22,11,147.5,1.51,0.71928304,1099800
2001-11-01,17.06902096,143.534,114.7424,22,11,147.5,1.51,0.71928304,1099800
2001-12-01,18.41639413,139.394,234.5486,22,11,147.5,1.51,0.75625515,1099800
2002-01-01,24.65161251,141.069,163.728,22,11,147.5,1.51,0.8208422,1099800
2002-02-01,26.45310669,113.232,166.2051,22,11,147.5,1.51,0.8208422,1099800
2002-03-01,29.08057666,120.547,78.7758,22,11,147.5,1.51,0.8322618,1099800
2002-04-01,27.09425467,97.5731,0.01153055,22,11,147.5,1.51,0.8125132,1099800
2002-05-01,22.73312867,76.2779,62.95084,22,11,147.5,1.51,0.82518786,1099800
2002-06-01,22.65637743,77.8508,0.364757233,22,11,147.5,1.51,0.81618035,1099800
2002-07-01,19.47044641,86.4229,19.929339,22,11,147.5,1.51,0.6784844,1099800
2002-08-01,17.82722572,117.227,55.67156,22,11,147.5,1.51,0.66775703,1099800
2002-09-01,16.70410211,127.41,13.288762,22,11,147.5,1.51,0.76051134,1099800
2002-10-01,14.00424496,164.81,9.694776,22,11,147.5,1.51,0.76051134,1099800
2002-11-01,12.0274691,144.633,128.7027,22,11,147.5,1.51,0.76051134,1099800
2002-12-01,17.19021024,143.299,120.1938,22,11,147.5,1.51,0.76926315,1099800
2003-01-01,18.51577408,138.523,311.9494,22,11,147.5,1.51,0.82573104,1099800
2003-02-01,28.04977652,118.142,113.6269,22,11,147.5,1.51,0.82573104,1099800
2003-03-01,28.0414896,118.586,50.15091,22,11,147.5,1.51,0.82480437,1099800
2003-04-01,25.06987426,91.8486,57.21059,22,11,147.5,1.51,0.8384527,1099800
2003-05-01,23.87861106,79.1828,17.528444,22,11,147.5,1.51,0.8384527,1099800
2003-06-01,21.45269756,70.6907,7.10147,22,11,147.5,1.51,0.7767895,1099800
2003-07-01,19.26238017,91.0325,2.2656242,22,11,147.5,1.51,0.7767895,1099800
2003-08-01,16.35813026,116.812,8.198052,22,11,147.5,1.51,0.71886283,1099800
2003-09-01,13.96318308,129.652,2.8959706,22,11,147.5,1.51,0.71886283,1099800
2003-10-01,12.14752797,146.197,67.01532,22,11,147.5,1.51,0.7251905,1099800
2003-11-01,13.96369964,148.318,62.50555,22,11,147.5,1.51,0.7251905,1099800
2003-12-01,13.436246,136.609,148.7722,22,11,147.5,1.51,0.7251905,1099800
2004-01-01,17.33997211,144.165,152.16614,22,11,147.5,1.51,0.7251905,1099800
2004-02-01,19.86857457,123.666,160.16841,22,11,147.5,1.51,0.7251905,1099800
2004-03-01,22.88760263,118.701,60.23866,22,11,147.5,1.51,0.7251905,1099800
2004-04-01,21.23067318,87.7948,105.54331,22,11,147.5,1.51,0.7251905,1099800
2004-05-01,22.76704501,72.0571,127.8918,22,11,147.5,1.51,0.7251905,1099800
2004-06-01,25.54190778,68.1787,19.613793,22,11,147.5,1.51,0.71886283,1099800
2004-07-01,23.85428195,84.4115,19.029554,22,11,147.5,1.51,0.71886283,1099800
2004-08-01,21.90622117,117.027,0,22,11,147.5,1.51,0.7060659,1099800
2004-09-01,17.86078169,124.816,0.91260773,22,11,147.5,1.51,0.7060659,1099800
2004-10-01,14.30729284,138.955,94.64925,22,11,147.5,1.51,0.6918088,1099800
2004-11-01,15.91338546,135.323,72.45311,22,11,147.5,1.51,0.6918088,1099800
2004-12-01,15.62802538,130.182,202.2577,22,11,147.5,1.51,0.6918088,1099800
2005-01-01,21.26660644,136.301,353.3393,22,11,147.5,1.51,0.6918088,1099800
2005-02-01,32.60381718,125.649,84.0219,22,11,147.5,1.51,0.6918088,1099800
2005-03-01,30.82893758,118.077,157.95783,22,11,147.5,1.51,0.6918088,1099800
2005-04-01,32.82366158,92.0626,36.93809,22,11,147.5,1.51,0.6918088,1099800
2005-05-01,30.01200232,79.7247,50.98598,22,11,147.5,1.51,0.6918088,1099800
2005-06-01,28.56935019,70.0013,28.684309,22,11,147.5,1.51,0.66915643,1099800
2005-07-01,26.96070764,88.8848,2.579705,22,11,147.5,1.51,0.66915643,1099800
2005-08-01,23.55562416,122.443,3.6744304,22,11,147.5,1.51,0.6694194,1099800
2005-09-01,19.63103279,124.62,47.75183,22,11,147.5,1.51,0.6694194,1099800
2005-10-01,18.48997886,128.289,132.4512,22,11,147.5,1.51,0.7106739,1099800
2005-11-01,20.726025,147.037,59.3729,22,11,147.5,1.51,0.7106739,1099800
2005-12-01,18.71212792,134.404,151.4354,22,11,147.5,1.51,0.7106739,1099800
2006-01-01,21.5142068,138.346,115.3206,22,11,147.5,1.51,0.7106739,1099800
2006-02-01,22.1096822,114.072,231.2649,22,11,147.5,1.51,0.7106739,1099800
2006-03-01,28.56836365,114.79,46.87156,22,11,147.5,1.51,0.7106739,1099800
2006-04-01,25.92156852,89.5728,12.271221,22,11,147.5,1.51,0.7106739,1099800
2006-05-01,22.81974804,77.1765,7.4681502,22,11,147.5,1.51,0.65986633,1099800
2006-06-01,20.36786805,72.8144,10.198374,22,11,147.5,1.51,0.65986633,1099800
2006-07-01,18.40949933,88.9394,12.157376,22,11,147.5,1.51,0.65986633,1099800
2006-08-01,16.37702383,122.704,7.3681417,22,11,147.5,1.51,0.66012996,1099800
2006-09-01,13.64527548,127.483,57.3952,22,11,147.5,1.51,0.66012996,1099800
2006-10-01,14.52396935,127.529,99.14633,22,11,147.5,1.51,0.67907727,1099800
2006-11-01,15.80237396,142.228,74.38026,22,11,147.5,1.51,0.67907727,1099800
2006-12-01,15.32475965,129.298,170.13109,22,11,147.5,1.51,0.67907727,1099800
2007-01-01,19.58031243,135.856,422.65541,22,11,147.5,1.51,0.67907727,1099800
2007-02-01,34.19870027,117.14,111.18743,22,11,147.5,1.51,0.67907727,1099800
2007-03-01,33.69179264,118.442,71.64296,22,11,147.5,1.51,0.67217183,1099800
2007-04-01,31.52935727,87.3373,75.11371,22,11,147.5,1.51,0.67253065,1099800
2007-05-01,30.7998402,73.8504,44.92675,22,11,147.5,1.51,0.67253065,1099800
2007-06-01,29.21414013,72.4,0.52571839,22,11,147.5,1.51,0.70496595,1099800
2007-07-01,25.77601587,87.3344,110.12843,22,11,147.5,1.51,0.7004691,1099800
2007-08-01,27.96572352,125.403,0.013258625,22,11,147.5,1.51,0.6908623,1099800
2007-09-01,23.0013874,134.955,1.46550095,22,11,147.5,1.51,0.6908623,1099800
2007-10-01,18.42591969,146.265,9.849446,22,11,147.5,1.51,0.68813616,1099800
2007-11-01,14.9488505,142.476,68.13281,22,11,147.5,1.51,0.68813616,1099800
2007-12-01,16.1793039,139.775,122.6771,22,11,147.5,1.51,0.68813616,1099800
2008-01-01,19.41852439,136.931,129.4716,22,11,147.5,1.51,0.68813616,1099800
2008-02-01,22.23155246,116.794,113.5394,22,11,147.5,1.51,0.68813616,1099800
2008-03-01,24.05219781,116.768,128.6129,22,11,147.5,1.51,0.68813616,1099800
2008-04-01,26.40588991,84.8267,88.3749,22,11,147.5,1.51,0.7035684,1099800
2008-05-01,27.5393612,72.6364,17.776629,22,11,147.5,1.51,0.7035684,1099800
2008-06-01,25.53758346,67.0803,12.103086,22,11,147.5,1.51,0.70032173,1099800
2008-07-01,23.55622157,87.755,0.015095719,22,11,147.5,1.51,0.6904244,1099800
2008-08-01,20.25669349,114.202,26.547363,22,11,147.5,1.51,0.6795768,1099800
2008-09-01,18.02846155,127.525,16.862272,22,11,147.5,1.51,0.6795768,1099800
2008-10-01,15.3289538,137.241,64.9973,22,11,147.5,1.51,0.8276457,1099800
2008-11-01,14.77720257,143.939,71.3069,22,11,147.5,1.51,0.8276457,1099800
2008-12-01,14.4411372,144.705,106.3174,22,11,147.5,1.51,0.8276457,1099800
2009-01-01,15.58119362,139.151,192.5686,22,11,147.5,1.51,0.8597806,1099800
2009-02-01,22.7675602,119.567,97.3196,22,11,147.5,1.51,0.8597806,1099800
2009-03-01,23.83791638,113.566,75.6908,22,11,147.5,1.51,0.8597806,1099800
2009-04-01,23.81524246,91.9104,6.390664,22,11,147.5,1.51,0.8597806,1099800
2009-05-01,20.25732789,73.0171,45.25285,22,11,147.5,1.51,0.7229937,1099800
2009-06-01,19.84350693,68.4876,24.101425,22,11,147.5,1.51,0.7229937,1099800
2009-07-01,18.59780467,75.3229,49.23895,22,11,147.5,1.51,0.7229937,1099800
2009-08-01,18.52026282,120.596,72.96216,22,11,147.5,1.51,0.7516228,1099800
2009-09-01,18.25721082,116.184,117.22993,22,11,147.5,1.51,0.7516228,1099800
2009-10-01,20.13214862,130.141,68.97672,22,11,147.5,1.51,0.9097268,1099800
2009-11-01,19.08921544,142.07,133.3721,22,11,147.5,1.51,0.9097268,1099800
2009-12-01,20.54581749,137.3,167.607,22,11,147.5,1.51,0.9097268,1099800
2010-01-01,23.55919762,137.763,210.4734,22,11,147.5,1.51,0.9097268,1099800
2010-02-01,27.86904559,117.936,40.62223,22,11,147.5,1.51,0.9097268,1099800
2010-03-01,24.42435537,118.666,67.66172,22,11,147.5,1.51,0.9097268,1099800
2010-04-01,22.6058763,91.4726,51.76424,22,11,147.5,1.51,0.9097268,1099800
2010-05-01,21.37683145,74.1088,33.63223,22,11,147.5,1.51,0.7041903,1099800
2010-06-01,20.31584053,74.761,11.475832,22,11,147.5,1.51,0.7041903,1099800
2010-07-01,18.32924861,88.7475,40.85531,22,11,147.5,1.51,0.7041903,1099800
2010-08-01,17.65664927,124.185,0,22,11,147.5,1.51,0.70419407,1099800
2010-09-01,14.16411747,130.314,60.07906,22,11,147.5,1.51,0.70419407,1099800
2010-10-01,14.78801748,139.504,69.72262,22,11,147.5,1.51,0.7862842,1099800
2010-11-01,15.31994206,147.076,21.281225,22,11,147.5,1.51,0.7862842,1099800
2010-12-01,12.81719236,134.863,174.7023,22,11,147.5,1.51,0.7862842,1099800
2011-01-01,19.86894178,136.149,349.9675,22,11,147.5,1.51,0.7862842,1099800
2011-02-01,31.53483256,113.078,211.219,22,11,147.5,1.51,0.7862842,1099800
2011-03-01,36.05795623,111.058,123.1786,22,11,147.5,1.51,0.7862842,1099800
2011-04-01,36.05635584,85.8617,76.69638,22,11,147.5,1.51,0.7862842,1099800
2011-05-01,35.07425229,71.5776,26.297625,22,11,147.5,1.51,0.6500235,1099800
2011-06-01,32.37084361,69.2941,39.32742,22,11,147.5,1.51,0.6500235,1099800
2011-07-01,30.62512715,85.4568,5.590767,22,11,147.5,1.51,0.6500235,1099800
2011-08-01,27.087749,114.738,19.61877,22,11,147.5,1.51,0.6500235,1099800
2011-09-01,23.68088976,132.388,2.67587042,22,11,147.5,1.51,0.6500235,1099800
2011-10-01,19.43525579,136.159,126.7123,22,11,147.5,1.51,0.7862842,1099800
2011-11-01,21.67689231,140.811,70.85391,22,11,147.5,1.51,0.7862842,1099800
2011-12-01,20.48273389,136.678,118.104,22,11,147.5,1.51,0.7862842,1099800
2012-01-01,21.820154,135.021,203.6504,22,11,147.5,1.51,0.7862842,1099800
2012-02-01,26.73135411,118.306,94.2311,22,11,147.5,1.51,0.7862842,1099800
2012-03-01,26.43485575,112.464,63.58328,22,11,147.5,1.51,0.82324976,1099800
2012-04-01,24.75900533,83.0701,110.9575,22,11,147.5,1.51,0.6948444,1099800
2012-05-01,26.6896181,67.5827,68.11943,22,11,147.5,1.51,0.6948444,1099800
2012-06-01,27.16716801,59.9076,180.1125,22,11,147.5,1.51,0.6948444,1099800
2012-07-01,32.83818834,83.0333,2.6705924,22,11,147.5,1.51,0.71616286,1099800
2012-08-01,28.86280399,115.444,0.014061019,22,11,147.5,1.51,0.7102826,1099800
2012-09-01,24.1096691,126.926,90.92322,22,11,147.5,1.51,0.69334537,1099800
2012-10-01,23.91320016,140.023,32.17229,22,11,147.5,1.51,0.92170626,1099800
2012-11-01,19.62327751,142.472,55.40753,22,11,147.5,1.51,0.92170626,1099800
2012-12-01,17.01115779,135.756,77.33011,22,11,147.5,1.51,0.92170626,1099800
2013-01-01,16.33175957,138.621,134.6522,22,11,147.5,1.51,0.896741,1099800
2013-02-01,19.31749473,114.225,111.2824,22,11,147.5,1.51,0.896741,1099800
2013-03-01,20.7802969,112.693,162.2692,22,11,147.5,1.51,0.9443707,1099800
2013-04-01,24.19384541,84.7199,42.39911,22,11,147.5,1.51,0.9443707,1099800
2013-05-01,22.70392168,70.9703,147.23748,22,11,147.5,1.51,0.605903,1099800
2013-06-01,26.89319285,61.0195,70.53282,22,11,147.5,1.51,0.7351187,1099800
2013-07-01,27.28107198,75.1619,18.405718,22,11,147.5,1.51,0.7559169,1099800
2013-08-01,24.88689896,122.774,0.033948009,22,11,147.5,1.51,0.7541163,1099800
2013-09-01,20.21134428,114.582,37.2241,22,11,147.5,1.51,0.72634417,1099800
2013-10-01,18.29889203,138.7,105.32253,22,11,147.5,1.51,0.8833449,1099800
2013-11-01,18.84443219,142.182,56.53695,22,11,147.5,1.51,0.8833449,1099800
2013-12-01,16.7937633,138.167,50.41199,22,11,147.5,1.51,0.89652735,1099800
2014-01-01,15.08285928,141.345,60.97656,22,11,147.5,1.51,0.8815369,1099800
2014-02-01,14.96495709,119.53,60.8784,22,11,147.5,1.51,0.8815369,1099800
2014-03-01,14.97592547,113.951,88.3368,22,11,147.5,1.51,0.9310625,1099800
2014-04-01,15.95431992,86.3989,51.48183,22,11,147.5,1.51,0.71041137,1099800
2014-05-01,16.75925367,70.9722,78.31641,22,11,147.5,1.51,0.6751628,1099800
2014-06-01,18.02145165,64.7454,0,22,11,147.5,1.51,0.7167606,1099800
2014-07-01,15.90460254,78.8022,21.359873,22,11,147.5,1.51,0.7249239,1099800
2014-08-01,14.61921955,111.796,4.8858871,22,11,147.5,1.51,0.7384478,1099800
2014-09-01,12.12102299,117.697,77.23686,22,11,147.5,1.51,0.7713013,1099800
2014-10-01,14.74646781,144.815,2.8037721,22,11,147.5,1.51,0.8309075,1099800
2014-11-01,10.91297975,141.542,148.6476,22,11,147.5,1.51,0.80692434,1099800
2014-12-01,17.63962054,135.993,204.7411,22,11,147.5,1.51,0.799895,1099800
2015-01-01,22.78054413,138.26,65.01545,22,11,147.5,1.51,0.8106695,1099800
