Datetime,Irrigation_A_3,Rural_2,Irrigation_A_1,Rural_1,Irrigation_A_2,Supply_city,L_34
2001-06-01T00:00:00,0.0,1008.0000000000001,57.025506799999995,3024.0,503.3627943,1607040.0,5183277.365048898
2001-07-01T00:00:00,0.0,1008.0000000000001,58.02151007999999,3024.0,0.0,1607040.0000000002,5784134.75195992
2001-08-01T00:00:00,0.0,1008.0000000000001,17.45776987,3024.0,158.5705625,1607040.0,3576986.1403476303
2001-09-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,228.4020822,1607040.0000000002,2310292.0418577995
2001-10-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000002,2714166.86394
2001-11-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0,2240584.8738899995
2001-12-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607039.9999999995,2174770.3359649996
2002-01-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000002,2244332.10534
2002-02-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000005,2146905.0633799997
2002-03-01T00:00:00,0.0,1008.0000000000001,796.6283713999999,3024.0,2680.7049969999994,1607040.0000000002,2072803.0226985998
2002-04-01T00:00:00,270.3236444,1008.0000000000001,702.9358883,3024.0,3049.8381409999997,1607039.9999999998,3552756.296686299
2002-05-01T00:00:00,0.0,1008.0000000000001,432.78697179999995,3024.0,1785.464292,1607040.0000000005,3577362.2268162
2002-06-01T00:00:00,75.33586496,1008.0000000000001,34.97275944,3024.0,635.2409008999999,1607040.0000000007,8357427.2078247
2002-07-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,19.112196849999997,1607040.0000000002,5615743.018953149
2002-08-01T00:00:00,212.2784951,1008.0000000000001,167.30780549999997,3024.0,907.1511729999999,1607040.0000000005,2890853.2830764004
2002-09-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,299.45587040000004,1607040.0000000005,2891477.3102296004
2002-10-01T00:00:00,850.4939313,1008.0000000000001,481.94404419999995,3024.0,1861.277759,1607040.0000000002,2314911.9954455
2002-11-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000005,2207876.0460600005
2002-12-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000002,2141895.31519
2003-01-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000005,2103964.1955899997
2003-02-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0,2066326.824601
2003-03-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0,2301901.6121699996
2003-04-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,1545.73592,1607040.0,2459365.4842799995
2003-05-01T00:00:00,59.14831264,1008.0000000000001,104.58874369999998,3024.0,869.4459705999999,1607040.0,3717084.13418306
2003-06-01T00:00:00,0.0,1008.0000000000001,63.18735915,3024.0,790.989526,1607040.0,4357023.02564485
2003-07-01T00:00:00,0.0,1008.0000000000001,40.68002121999999,3024.0,404.01618659999997,1607040.0,5077408.898132182
2003-08-01T00:00:00,68.21233434,1008.0000000000001,0.0,3024.0,290.3006306,1607040.0,2922903.7831050595
2003-09-01T00:00:00,33.61965096,1008.0000000000001,24.81620062,3024.0,182.1142728,1607040.0000000005,3506511.074775621
2003-10-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,558.2049683,1607040.0000000002,3435456.420141699
2003-11-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000002,2434904.0987199997
2003-12-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607039.9999999998,2331628.4476999994
2004-01-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0,2190322.87373
2004-02-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0,2101485.3368999995
2004-03-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,657.7633229999999,1607040.0000000002,2555221.0298870006
2004-04-01T00:00:00,0.0,1008.0000000000001,468.70555459999997,3024.0,891.4249293,1607040.0000000007,2578291.8857061
2004-05-01T00:00:00,0.0,1008.0000000000001,384.01173479999994,3024.0,140.69719409999996,1607040.0000000002,4713853.2322611
2004-06-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,401.6414831999999,1607040.0,10289303.306726797
2004-07-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000007,4289973.812309999
2004-08-01T00:00:00,118.32107109999998,1008.0000000000001,201.9930434,3024.0,2723.5501050000003,1607040.0000000002,5308248.8547405
2004-09-01T00:00:00,189.9607134,1008.0000000000001,0.0,3024.0,133.0530762,1607040.0000000002,2718743.9227603995
2004-10-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000002,2561518.7435799995
2004-11-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0,2402976.0100699994
2004-12-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607039.9999999998,2263016.57735
2005-01-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000002,2155628.9388699997
2005-02-01T00:00:00,304.50335499999994,1008.0000000000001,0.0,3024.0,0.0,1607040.0000000002,2269162.0424749996
2005-03-01T00:00:00,0.0,1008.0000000000001,0.0,3024.0,1833.4015709999999,1607040.0000000005,3201841.0186389997
