Date,U_init,etp,prec,FC,WP,zr,dg,kc,area
2000-08-01,21.82527448,114.152,44.9102,26,12,189.77,1.31,0.6218476,297000
2000-09-01,20.27059093,126.682,102.91451,26,12,189.77,1.31,0.6363818,297000
2000-10-01,20.81578553,140.426,24.685027,26,12,189.77,1.31,0.74466205,297000
2000-11-01,17.34608447,143.613,171.0878,26,12,189.77,1.31,0.74466205,297000
2000-12-01,20.16082283,139.371,157.3528,26,12,189.77,1.31,0.74466205,297000
2001-01-01,22.13876751,138.583,206.4463,26,12,189.77,1.31,0.7770433,297000
2001-02-01,25.78754483,115.537,152.23078,26,12,189.77,1.31,0.7770433,297000
2001-03-01,27.5032383,115.044,109.2703,26,12,189.77,1.31,0.8305608,297000
2001-04-01,27.03583816,88.3034,14.801605,26,12,189.77,1.31,0.8074764,297000
2001-05-01,23.80302275,72.3004,65.60206,26,12,189.77,1.31,0.7841988,297000
2001-06-01,23.50847134,68.0757,26.992197,26,12,189.77,1.31,0.7592571,297000
2001-07-01,22.06249772,84.0036,15.636938,26,12,189.77,1.31,0.75441253,297000
2001-08-01,19.86629106,113.601,41.795668,26,12,189.77,1.31,0.6744464,297000
2001-09-01,18.28313001,126.294,32.849872,26,12,189.77,1.31,0.7408991,297000
2001-10-01,16.04545311,140.195,109.53077,26,12,189.77,1.31,0.6924524,297000
2001-11-01,17.01219145,143.534,120.16022,26,12,189.77,1.31,0.6924524,297000
2001-12-01,18.12202189,139.394,239.11519,26,12,189.77,1.31,0.67382467,297000
2002-01-01,23.99706204,141.069,169.1873,26,12,189.77,1.31,0.8118883,297000
2002-02-01,25.46647761,113.232,169.60717,26,12,189.77,1.31,0.8118883,297000
2002-03-01,27.71515612,120.547,76.2917,26,12,189.77,1.31,0.82441133,297000
2002-04-01,25.8652288,97.5731,0.023813774,26,12,189.77,1.31,0.78110874,297000
2002-05-01,21.99366463,76.2779,81.48396,26,12,189.77,1.31,0.7818843,297000
2002-06-01,22.04128998,77.8508,0.97474204,26,12,189.77,1.31,0.766326,297000
2002-07-01,19.21580413,86.4229,22.099622,26,12,189.77,1.31,0.69087297,297000
2002-08-01,17.55939929,117.227,42.63376,26,12,189.77,1.31,0.686878,297000
2002-09-01,16.26166502,127.41,16.262201,26,12,189.77,1.31,0.7619756,297000
2002-10-01,13.59515498,164.81,11.834286,26,12,189.77,1.31,0.7619756,297000
