Date,U_init,etp,prec,FC,WP,zr,dg,kc,area
2005-01-01,20.56485263,52334.31797,9187.741406,26,12,189.77,1.31,0.74996287,637200
2005-02-01,16.98042158,47803.46133,46255.54219,26,12,189.77,1.31,0.74996287,637200
2005-03-01,15.88170323,51136.41445,109311.6586,26,12,189.77,1.31,0.83337486,637200
2005-04-01,17.81428132,64675.64531,50609.61211,26,12,189.77,1.31,0.83337486,637200
2005-05-01,15.797065,53610.30352,120211.5656,26,12,189.77,1.31,0.83337486,637200
2005-06-01,18.25550692,61771.54922,91406.65781,26,12,189.77,1.31,0.83337486,637200
2005-07-01,18.58871863,51028.86445,187065.9984,26,12,189.77,1.31,0.83337486,637200
2005-08-01,24.30205283,57702.7582,37897.44258,26,12,189.77,1.31,0.83337486,637200
2005-09-01,21.77456299,43184.1832,12443.81133,26,12,189.77,1.31,0.83337486,637200
2005-10-01,18.93964806,29138.44043,8203.947363,26,12,189.77,1.31,0.6736061,637200
2005-11-01,17.01077605,25861.25566,10199.52334,26,12,189.77,1.31,0.6736061,637200
2005-12-01,15.4919404,29265.65508,13301.55,26,12,189.77,1.31,0.6736061,637200
2006-01-01,13.95229108,35107.44609,10227.05947,26,12,189.77,1.31,0.67362016,637200
2006-02-01,11.90264689,18259.24043,46483.72383,26,12,189.77,1.31,0.67362016,637200
2006-03-01,13.10481252,42357.78633,68651.52188,26,12,189.77,1.31,0.81533253,637200
2006-04-01,13.60654696,49599.98086,51103.17422,26,12,189.77,1.31,0.81533253,637200
2006-05-01,12.81698949,40064.79727,123102.45,26,12,189.77,1.31,0.81533253,637200
2006-06-01,16.503229,56888.64141,330091.7344,26,12,189.77,1.31,0.81533253,637200
2006-07-01,29.17384261,61111.58203,83266.10859,26,12,189.77,1.31,0.81533253,637200
2006-08-01,28.42428965,61320.56484,52138.88789,26,12,189.77,1.31,0.8158732,637200
2006-09-01,26.15527253,44548.36172,54623.9707,26,12,189.77,1.31,0.8268038,637200
2006-10-01,25.22064901,37115.8207,32245.89609,26,12,189.77,1.31,0.8268038,637200
2006-11-01,23.43659139,29537.57109,1610.984619,26,12,189.77,1.31,0.66526455,637200
2006-12-01,20.90998787,34177.275,123298.2,26,12,189.77,1.31,0.6658876,637200
2007-01-01,25.06602008,52372.83516,48.08351555,26,12,189.77,1.31,0.6607993,637200
2007-02-01,20.93536203,52585.00313,4298.965137,26,12,189.77,1.31,0.6607993,637200
2007-03-01,17.21398907,63557.48672,26791.3793,26,12,189.77,1.31,0.84661275,637200
2007-04-01,13.82449713,46898.52539,87580.01953,26,12,189.77,1.31,0.84661275,637200
2007-05-01,15.05388566,56121.80977,134496.9844,26,12,189.77,1.31,0.84661275,637200
2007-06-01,18.08747891,62088.64453,135755.4656,26,12,189.77,1.31,0.84661275,637200
2007-07-01,20.64483218,56198.67891,110418.4406,26,12,189.77,1.31,0.84661275,637200
2007-08-01,22.12131618,57637.8457,125149.2891,26,12,189.77,1.31,0.84661275,637200
2007-09-01,24.13705572,43426.86328,96695.1,26,12,189.77,1.31,0.853128,637200
2007-10-01,25.49120852,37814.95195,41898.35391,26,12,189.77,1.31,0.853128,637200
2007-11-01,24.0328142,31371.89414,22907.33965,26,12,189.77,1.31,0.77197707,637200
2007-12-01,22.32825492,38202.73242,48.08351555,26,12,189.77,1.31,0.73199654,637200
2008-01-01,19.26152918,46748.04961,28546.56035,26,12,189.77,1.31,0.7317668,637200
2008-02-01,17.10406998,48814.06289,19235.96895,26,12,189.77,1.31,0.7317668,637200
2008-03-01,14.48691495,46354.02891,71398.25859,26,12,189.77,1.31,0.7651332,637200
2008-04-01,15.02515528,52388.86992,68499,26,12,189.77,1.31,0.7651332,637200
2008-05-01,15.07512531,52687.86328,93932.88047,26,12,189.77,1.31,0.7651332,637200
2008-06-01,16.46454046,56666.40469,221512.2328,26,12,189.77,1.31,0.7967602,637200
2008-07-01,23.90666521,57650.55117,120287.4328,26,12,189.77,1.31,0.7967602,637200
2008-08-01,25.6625105,55956.00586,98241.08203,26,12,189.77,1.31,0.7967602,637200
2008-09-01,26.31158816,45593.48672,15965.64844,26,12,189.77,1.31,0.7967602,637200
2008-10-01,23.27073498,33715.21641,41774.43516,26,12,189.77,1.31,0.76983637,637200
2008-11-01,22.52767594,31292.45508,24701.90625,26,12,189.77,1.31,0.76983637,637200
2008-12-01,21.03189678,33444.05625,47535.1207,26,12,189.77,1.31,0.76983637,637200
2009-01-01,20.65145132,53282.30977,67857.20859,26,12,189.77,1.31,0.7694492,637200
2009-02-01,20.06639461,50511.89531,97427.87578,26,12,189.77,1.31,0.7694492,637200
2009-03-01,21.45309557,61424.43047,94974.65859,26,12,189.77,1.31,0.8156176,637200
2009-04-01,21.72880602,66942.66797,133680.1219,26,12,189.77,1.31,0.8156176,637200
2009-05-01,23.73931851,67089.86016,165433.0078,26,12,189.77,1.31,0.8156176,637200
2009-06-01,27.19988266,70185.94453,196528.4016,26,12,189.77,1.31,0.8156176,637200
2009-07-01,31.68118043,62619.33516,47566.28672,26,12,189.77,1.31,0.8156176,637200
