Datetime,Irrigation_A_3,Irrigation_A_1,Irrigation_A_2,L_31
2001-06-01T00:00:00,0.0,0.0,0.0,1000000000.0000001
2001-06-02T00:00:00,0.0,0.0,1000000000.0000001,1000000000.0000001
2001-06-03T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-04T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-05T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-06T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-07T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-08T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-09T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-10T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-11T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-12T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-13T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-14T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-15T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-16T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-17T00:00:00,1.3914788065283377e-07,57.02550680462693,503.3627943029624,1000000000.0000002
2001-06-18T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-19T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-20T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-21T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-22T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-23T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-24T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-25T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-26T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-27T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-28T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-29T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-06-30T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-01T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-02T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-03T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-04T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-05T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-06T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-07T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-08T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-09T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-10T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-11T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-12T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
2001-07-13T00:00:00,1.3914788065283377e-07,1.3914788065283377e-07,1.3914788065283377e-07,1000000000.0000002
