Datetime,Rsl_3
2001-06-01T00:00:00,55092.312000000005
2001-06-02T00:00:00,53463.4814587823
2001-06-03T00:00:00,51684.873396533076
2001-06-04T00:00:00,49937.79753437408
2001-06-05T00:00:00,48151.18636554111
2001-06-06T00:00:00,46480.38816831754
2001-06-07T00:00:00,44921.915741562385
2001-06-08T00:00:00,43602.163762128475
2001-06-09T00:00:00,43065.04468749931
2001-06-10T00:00:00,41760.488496603386
2001-06-11T00:00:00,40805.88020819456
2001-06-12T00:00:00,39672.37123213977
2001-06-13T00:00:00,38460.0894578085
2001-06-14T00:00:00,37499.47104201958
2001-06-15T00:00:00,36434.50452232285
2001-06-16T00:00:00,35366.33615525998
2001-06-17T00:00:00,34357.535567311475
2001-06-18T00:00:00,40033.45758056308
2001-06-19T00:00:00,39839.182858468725
2001-06-20T00:00:00,40384.883696299265
2001-06-21T00:00:00,40186.69005364413
2001-06-22T00:00:00,39772.25622927654
2001-06-23T00:00:00,39027.47281592466
2001-06-24T00:00:00,38112.9392519461
2001-06-25T00:00:00,37712.30438915035
2001-06-26T00:00:00,57841.24140205507
2001-06-27T00:00:00,57548.71694267549
2001-06-28T00:00:00,56952.36079983299
2001-06-29T00:00:00,56170.57589239209
2001-06-30T00:00:00,55340.752760461226
2001-07-01T00:00:00,54048.74432067428
2001-07-02T00:00:00,52701.928090659596
2001-07-03T00:00:00,51503.27260127863
2001-07-04T00:00:00,50058.759597763084
2001-07-05T00:00:00,48702.80594361466
2001-07-06T00:00:00,47170.117139589966
2001-07-07T00:00:00,46215.78248827449
2001-07-08T00:00:00,45234.05534230107
2001-07-09T00:00:00,44102.888055331685
2001-07-10T00:00:00,42874.58257719911
2001-07-11T00:00:00,43841.125507282515
2001-07-12T00:00:00,42674.58072405724
2001-07-13T00:00:00,42030.643673357066
2001-07-14T00:00:00,41361.82655215694
2001-07-15T00:00:00,40431.76264893884
2001-07-16T00:00:00,39310.80440685763
2001-07-17T00:00:00,38220.83469851625
2001-07-18T00:00:00,37321.2457503715
2001-07-19T00:00:00,36366.80498164594
2001-07-20T00:00:00,35355.84329071862
2001-07-21T00:00:00,34487.29877410527
2001-07-22T00:00:00,33591.028356024006
2001-07-23T00:00:00,33863.70213218272
2001-07-24T00:00:00,33475.57096732183
2001-07-25T00:00:00,42109.507963190714
2001-07-26T00:00:00,43093.01594163831
2001-07-27T00:00:00,53400.877883756504
2001-07-28T00:00:00,53230.39032225512
2001-07-29T00:00:00,52853.6603747595
2001-07-30T00:00:00,52197.97164973295
2001-07-31T00:00:00,50887.8032725223
2001-08-01T00:00:00,49452.07181280742
2001-08-02T00:00:00,47830.767875085
2001-08-03T00:00:00,46311.22226176641
2001-08-04T00:00:00,44828.8545115723
2001-08-05T00:00:00,43318.020825758074
2001-08-06T00:00:00,41914.05554677702
2001-08-07T00:00:00,40430.62249933327
2001-08-08T00:00:00,39292.3867118526
2001-08-09T00:00:00,38256.592178293824
2001-08-10T00:00:00,37309.02066358188
2001-08-11T00:00:00,36253.186240325864
2001-08-12T00:00:00,35290.65347820996
2001-08-13T00:00:00,34470.17200957385
2001-08-14T00:00:00,33620.52999320224
2001-08-15T00:00:00,32789.04019592546
2001-08-16T00:00:00,31995.532659321583
2001-08-17T00:00:00,31419.154317159275
2001-08-18T00:00:00,30884.014748186648
2001-08-19T00:00:00,30401.894850759607
2001-08-20T00:00:00,30050.352000000006
2001-08-21T00:00:00,30050.352000000006
2001-08-22T00:00:00,35147.952000000005
2001-08-23T00:00:00,41392.512
2001-08-24T00:00:00,41035.83860770759
2001-08-25T00:00:00,41410.07237140254
2001-08-26T00:00:00,40457.79265544642
2001-08-27T00:00:00,53409.44671280167
2001-08-28T00:00:00,53825.16728758489
2001-08-29T00:00:00,52152.68924324209
2001-08-30T00:00:00,50689.268500050435
2001-08-31T00:00:00,48892.20740286202
2001-09-01T00:00:00,47857.13506157183
2001-09-02T00:00:00,45817.40885922329
2001-09-03T00:00:00,43810.24755769167
2001-09-04T00:00:00,41872.98381785405
2001-09-05T00:00:00,40013.56004835913
2001-09-06T00:00:00,38518.92431642368
2001-09-07T00:00:00,37279.983249742014
2001-09-08T00:00:00,36161.898868633754
2001-09-09T00:00:00,34898.43475283095
2001-09-10T00:00:00,33906.281549330495
2001-09-11T00:00:00,32870.42731222311
2001-09-12T00:00:00,32229.84552626391
2001-09-13T00:00:00,35501.64863801014
2001-09-14T00:00:00,42273.469468209936
2001-09-15T00:00:00,41660.67594400144
2001-09-16T00:00:00,40724.67412009004
2001-09-17T00:00:00,40032.20741604866
2001-09-18T00:00:00,39613.33221683173
2001-09-19T00:00:00,39171.59448969188
2001-09-20T00:00:00,38483.35210518023
2001-09-21T00:00:00,38754.87375903479
2001-09-22T00:00:00,42169.79819597925
2001-09-23T00:00:00,41142.962681442616
2001-09-24T00:00:00,39883.143415273604
2001-09-25T00:00:00,38731.48246493978
2001-09-26T00:00:00,38007.756444054015
2001-09-27T00:00:00,36771.26920883438
2001-09-28T00:00:00,35677.47291392668
2001-09-29T00:00:00,34394.95138705848
2001-09-30T00:00:00,33295.19578591034
2001-10-01T00:00:00,53497.32153485899
2001-10-02T00:00:00,52511.11729340737
2001-10-03T00:00:00,51554.452804905704
2001-10-04T00:00:00,50313.28401579141
2001-10-05T00:00:00,48821.66009091393
2001-10-06T00:00:00,47142.138549507916
2001-10-07T00:00:00,49247.90283924724
2001-10-08T00:00:00,54656.76153638773
2001-10-09T00:00:00,61798.54607567533
2001-10-10T00:00:00,64000.45376986395
