Date;U_init;etp;prec;FC;WP;zr;dg;kc;area;ES;int
2004-12-01;14.09844231;130.182;195.1309;26;12;189.77;1.31;0.77107584;637200;28.5104;13.4877
2005-01-01;18.99811543;136.301;349.5421;26;12;189.77;1.31;0.77107584;637200;75.8844;11.9705
2005-02-01;28.98213082;125.649;82.41179;26;12;189.77;1.31;0.77107584;637200;11.5373;7.30091
2005-03-01;27.2962971;118.077;155.58913;26;12;189.77;1.31;0.77107584;637200;30.6393;7.73657
2005-04-01;28.98939566;92.0626;34.1979;26;12;189.77;1.31;0.77107584;637200;2.21589;7.72181
2005-05-01;26.43960307;79.7247;47.65294;26;12;189.77;1.31;0.77107584;637200;2.37196;15.5001
2005-06-01;25.1767015;70.0013;29.19104;26;12;189.77;1.31;0.7514145;637200;1.01466;13.8443
2005-07-01;23.65922357;88.8848;2.8844981;26;12;189.77;1.31;0.7514145;637200;0.0169019;6.69235
2005-08-01;20.56485263;122.443;4.2749484;26;12;189.77;1.31;0.74996287;637200;0.0285516;10.0758
2005-09-01;16.98042158;124.62;49.54712;26;12;189.77;1.31;0.74996287;637200;1.86658;21.1131
2005-10-01;15.88170323;128.289;102.60626;26;12;189.77;1.31;0.83337486;637200;9.30094;59.6428
2005-11-01;17.81428132;147.037;43.51756;26;12;189.77;1.31;0.83337486;637200;3.11994;32.7875
2005-12-01;15.797065;134.404;129.6562;26;12;189.77;1.31;0.83337486;637200;16.4097;42.6421
2006-01-01;18.25550692;138.346;96.6295;26;12;189.77;1.31;0.83337486;637200;11.6526;35.2539
2006-02-01;18.58871863;114.072;220.1418;26;12;189.77;1.31;0.83337486;637200;45.8911;27.5421
2006-03-01;24.30205283;114.79;36.60058;26;12;189.77;1.31;0.83337486;637200;3.36662;19.5567
2006-04-01;21.77456299;89.5728;7.26503;26;12;189.77;1.31;0.83337486;637200;0.21367;12.0766
2006-05-01;18.93964806;77.1765;10.98227;26;12;189.77;1.31;0.6736061;637200;0.11048;1.78225
2006-06-01;17.01077605;72.8144;13.912812;26;12;189.77;1.31;0.6736061;637200;0.170388;1.9391
2006-07-01;15.4919404;88.9394;17.786882;26;12;189.77;1.31;0.6736061;637200;0.201518;2.8866
2006-08-01;13.95229108;122.704;12.6837373;26;12;189.77;1.31;0.67362016;637200;0.0863527;3.27991
2006-09-01;11.90264689;127.483;66.84433;26;12;189.77;1.31;0.67362016;637200;2.36563;3.74004
2006-10-01;13.10481252;127.529;81.30385;26;12;189.77;1.31;0.81533253;637200;5.07115;21.408
2006-11-01;13.60654696;142.228;62.27806;26;12;189.77;1.31;0.81533253;637200;4.41104;13.5959
2006-12-01;12.81698949;129.298;157.6613;26;12;189.77;1.31;0.81533253;637200;20.238;15.3637
2007-01-01;16.503229;135.856;411.8277;26;12;189.77;1.31;0.81533253;637200;92.38;14.0033
