Date,U_init,etp,prec,FC,WP,zr,dg,kc,area
2000-04-01,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-04-02,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-04-03,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-04-04,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-04-05,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-04-06,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-04-07,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-04-08,22,4.63,0,26,12,189.77,1.31,0.66,637200
2000-04-09,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-04-10,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-04-11,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-04-12,22,4.71,0,26,12,189.77,1.31,0.66,637200
2000-04-13,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-04-14,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-04-15,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-04-16,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-04-17,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-04-18,22,3.17,0.1,26,12,189.77,1.31,0.66,637200
2000-04-19,22,2.73,8,26,12,189.77,1.31,0.66,637200
2000-04-20,22,2.46,0,26,12,189.77,1.31,0.66,637200
2000-04-21,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-04-22,22,2.87,0,26,12,189.77,1.31,0.66,637200
2000-04-23,22,2.59,0,26,12,189.77,1.31,0.66,637200
2000-04-24,22,2.96,0,26,12,189.77,1.31,0.66,637200
2000-04-25,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-04-26,22,2.87,0,26,12,189.77,1.31,0.66,637200
2000-04-27,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-04-28,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-04-29,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-04-30,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-05-01,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-05-02,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-05-03,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-05-04,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-05-05,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-05-06,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-05-07,22,3.17,0.8,26,12,189.77,1.31,0.66,637200
2000-05-08,22,2.21,0,26,12,189.77,1.31,0.66,637200
2000-05-09,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-05-10,22,2.21,0,26,12,189.77,1.31,0.66,637200
2000-05-11,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-05-12,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-05-13,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-05-14,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-05-15,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-05-16,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-05-17,22,2.46,0,26,12,189.77,1.31,0.66,637200
2000-05-18,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-05-19,22,1.96,0,26,12,189.77,1.31,0.66,637200
2000-05-20,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-05-21,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-05-22,22,2.87,0,26,12,189.77,1.31,0.66,637200
2000-05-23,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-05-24,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-05-25,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-05-26,22,2.33,0,26,12,189.77,1.31,0.66,637200
2000-05-27,22,2.46,9.6,26,12,189.77,1.31,0.66,637200
2000-05-28,22,2.33,0.8,26,12,189.77,1.31,0.66,637200
2000-05-29,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-05-30,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-05-31,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-06-01,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-06-02,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-06-03,22,2.33,0,26,12,189.77,1.31,0.66,637200
2000-06-04,22,2.21,0,26,12,189.77,1.31,0.66,637200
2000-06-05,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-06-06,22,2.59,0,26,12,189.77,1.31,0.66,637200
2000-06-07,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-06-08,22,3.17,0,26,12,189.77,1.31,0.66,637200
2000-06-09,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-06-10,22,3.17,0,26,12,189.77,1.31,0.66,637200
2000-06-11,22,3.17,0,26,12,189.77,1.31,0.66,637200
2000-06-12,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-06-13,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-06-14,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-06-15,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-06-16,22,2.33,0,26,12,189.77,1.31,0.66,637200
2000-06-17,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-06-18,22,3.17,0,26,12,189.77,1.31,0.66,637200
2000-06-19,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-06-20,22,2.59,2,26,12,189.77,1.31,0.66,637200
2000-06-21,22,1.53,0,26,12,189.77,1.31,0.66,637200
2000-06-22,22,1.63,0,26,12,189.77,1.31,0.66,637200
2000-06-23,22,2.33,0,26,12,189.77,1.31,0.66,637200
2000-06-24,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-06-25,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-06-26,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-06-27,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-06-28,22,3.17,0,26,12,189.77,1.31,0.66,637200
2000-06-29,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-06-30,22,1.96,18,26,12,189.77,1.31,0.66,637200
2000-07-01,22,2.87,0,26,12,189.77,1.31,0.66,637200
2000-07-02,22,3.17,0,26,12,189.77,1.31,0.66,637200
2000-07-03,22,2.59,0,26,12,189.77,1.31,0.66,637200
2000-07-04,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-07-05,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-07-06,22,2.59,0,26,12,189.77,1.31,0.66,637200
2000-07-07,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-07-08,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-07-09,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-07-10,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-07-11,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-07-12,22,0.75,0,26,12,189.77,1.31,0.66,637200
2000-07-13,22,0.87,0,26,12,189.77,1.31,0.66,637200
2000-07-14,22,1.04,0,26,12,189.77,1.31,0.66,637200
2000-07-15,22,1.53,31,26,12,189.77,1.31,0.66,637200
2000-07-16,22,0.46,0,26,12,189.77,1.31,0.66,637200
2000-07-17,22,0.58,0,26,12,189.77,1.31,0.66,637200
2000-07-18,22,0.65,0,26,12,189.77,1.31,0.66,637200
2000-07-19,22,0.43,0,26,12,189.77,1.31,0.66,637200
2000-07-20,22,0.98,0,26,12,189.77,1.31,0.66,637200
2000-07-21,22,1.53,0,26,12,189.77,1.31,0.66,637200
2000-07-22,22,3.02,22,26,12,189.77,1.31,0.66,637200
2000-07-23,22,0.68,5,26,12,189.77,1.31,0.66,637200
2000-07-24,22,1.33,0,26,12,189.77,1.31,0.66,637200
2000-07-25,22,2.33,0,26,12,189.77,1.31,0.66,637200
2000-07-26,22,2.21,0,26,12,189.77,1.31,0.66,637200
2000-07-27,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-07-28,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-07-29,22,2.87,0,26,12,189.77,1.31,0.66,637200
2000-07-30,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-07-31,22,3.32,0.5,26,12,189.77,1.31,0.66,637200
2000-08-01,22,2.21,0,26,12,189.77,1.31,0.66,637200
2000-08-02,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-08-03,22,2.68,0,26,12,189.77,1.31,0.66,637200
2000-08-04,22,2.33,1.8,26,12,189.77,1.31,0.66,637200
2000-08-05,22,1.33,0,26,12,189.77,1.31,0.66,637200
2000-08-06,22,1.74,0,26,12,189.77,1.31,0.66,637200
2000-08-07,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-08-08,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-08-09,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-08-10,22,2.59,0,26,12,189.77,1.31,0.66,637200
2000-08-11,22,1.85,0,26,12,189.77,1.31,0.66,637200
2000-08-12,22,1.43,0,26,12,189.77,1.31,0.66,637200
2000-08-13,22,2.33,0,26,12,189.77,1.31,0.66,637200
2000-08-14,22,3.17,0,26,12,189.77,1.31,0.66,637200
2000-08-15,22,3.97,6.6,26,12,189.77,1.31,0.66,637200
2000-08-16,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-08-17,22,2.21,7.8,26,12,189.77,1.31,0.66,637200
2000-08-18,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-08-19,22,2.87,0,26,12,189.77,1.31,0.66,637200
2000-08-20,22,2.33,0,26,12,189.77,1.31,0.66,637200
2000-08-21,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-08-22,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-08-23,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-08-24,22,4.71,0,26,12,189.77,1.31,0.66,637200
2000-08-25,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-08-26,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-08-27,22,2.46,15,26,12,189.77,1.31,0.66,637200
2000-08-28,22,1.43,13,26,12,189.77,1.31,0.66,637200
2000-08-29,22,1.63,0.2,26,12,189.77,1.31,0.66,637200
2000-08-30,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-08-31,22,2.08,9.2,26,12,189.77,1.31,0.66,637200
2000-09-01,22,2.46,32,26,12,189.77,1.31,0.66,637200
2000-09-02,22,1.43,13.2,26,12,189.77,1.31,0.66,637200
2000-09-03,22,1.33,0.4,26,12,189.77,1.31,0.66,637200
2000-09-04,22,1.74,0,26,12,189.77,1.31,0.66,637200
2000-09-05,22,2.87,3.8,26,12,189.77,1.31,0.66,637200
2000-09-06,22,2.33,0,26,12,189.77,1.31,0.66,637200
2000-09-07,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-09-08,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-09-09,22,2.87,13.5,26,12,189.77,1.31,0.66,637200
2000-09-10,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-09-11,22,4.85,0,26,12,189.77,1.31,0.66,637200
2000-09-12,22,2.73,19.4,26,12,189.77,1.31,0.66,637200
2000-09-13,22,2.33,33.2,26,12,189.77,1.31,0.66,637200
2000-09-14,22,3.48,0.2,26,12,189.77,1.31,0.66,637200
2000-09-15,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-09-16,22,3.8,1.2,26,12,189.77,1.31,0.66,637200
2000-09-17,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-09-18,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-09-19,22,4.99,0,26,12,189.77,1.31,0.66,637200
2000-09-20,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-09-21,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-09-22,22,3.02,0,26,12,189.77,1.31,0.66,637200
2000-09-23,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-09-24,22,2.87,0.8,26,12,189.77,1.31,0.66,637200
2000-09-25,22,1.96,0,26,12,189.77,1.31,0.66,637200
2000-09-26,22,2.08,0,26,12,189.77,1.31,0.66,637200
2000-09-27,22,2.73,0,26,12,189.77,1.31,0.66,637200
2000-09-28,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-09-29,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-09-30,22,3.32,45,26,12,189.77,1.31,0.66,637200
2000-10-01,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-10-02,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-10-03,22,4.99,2.4,26,12,189.77,1.31,0.66,637200
2000-10-04,22,4.85,10,26,12,189.77,1.31,0.66,637200
2000-10-05,22,3.97,0.2,26,12,189.77,1.31,0.66,637200
2000-10-06,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-10-07,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-10-08,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-10-09,22,4.99,0,26,12,189.77,1.31,0.66,637200
2000-10-10,22,4.71,2.4,26,12,189.77,1.31,0.66,637200
2000-10-11,22,4.71,0,26,12,189.77,1.31,0.66,637200
2000-10-12,22,5.25,0,26,12,189.77,1.31,0.66,637200
2000-10-13,22,5.12,0,26,12,189.77,1.31,0.66,637200
2000-10-14,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-10-15,22,4.99,0,26,12,189.77,1.31,0.66,637200
2000-10-16,22,5.25,1,26,12,189.77,1.31,0.66,637200
2000-10-17,22,5.37,0,26,12,189.77,1.31,0.66,637200
2000-10-18,22,5.25,0,26,12,189.77,1.31,0.66,637200
2000-10-19,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-10-20,22,5.12,0.2,26,12,189.77,1.31,0.66,637200
2000-10-21,22,4.99,0,26,12,189.77,1.31,0.66,637200
2000-10-22,22,5.48,0,26,12,189.77,1.31,0.66,637200
2000-10-23,22,5.48,0,26,12,189.77,1.31,0.66,637200
2000-10-24,22,4.99,5.2,26,12,189.77,1.31,0.66,637200
2000-10-25,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-10-26,22,3.8,0,26,12,189.77,1.31,0.66,637200
2000-10-27,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-10-28,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-10-29,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-10-30,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-10-31,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-11-01,22,4.71,0,26,12,189.77,1.31,0.66,637200
2000-11-02,22,4.31,14.2,26,12,189.77,1.31,0.66,637200
2000-11-03,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-11-04,22,4.71,0,26,12,189.77,1.31,0.66,637200
2000-11-05,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-11-06,22,4.99,8,26,12,189.77,1.31,0.66,637200
2000-11-07,22,4.71,0,26,12,189.77,1.31,0.66,637200
2000-11-08,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-11-09,22,4.71,0,26,12,189.77,1.31,0.66,637200
2000-11-10,22,4.31,0.2,26,12,189.77,1.31,0.66,637200
2000-11-11,22,4.85,0.3,26,12,189.77,1.31,0.66,637200
2000-11-12,22,3.97,31,26,12,189.77,1.31,0.66,637200
2000-11-13,22,3.48,7.8,26,12,189.77,1.31,0.66,637200
2000-11-14,22,2.46,3.5,26,12,189.77,1.31,0.66,637200
2000-11-15,22,3.48,0,26,12,189.77,1.31,0.66,637200
2000-11-16,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-11-17,22,4.14,8.2,26,12,189.77,1.31,0.66,637200
2000-11-18,22,2.73,8.4,26,12,189.77,1.31,0.66,637200
2000-11-19,22,3.48,4.2,26,12,189.77,1.31,0.66,637200
2000-11-20,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-11-21,22,3.32,16.8,26,12,189.77,1.31,0.66,637200
2000-11-22,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-11-23,22,4.71,26,26,12,189.77,1.31,0.66,637200
2000-11-24,22,3.97,5,26,12,189.77,1.31,0.66,637200
2000-11-25,22,3.48,14,26,12,189.77,1.31,0.66,637200
2000-11-26,22,3.8,0.4,26,12,189.77,1.31,0.66,637200
2000-11-27,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-11-28,22,3.64,0,26,12,189.77,1.31,0.66,637200
2000-11-29,22,3.97,12.6,26,12,189.77,1.31,0.66,637200
2000-11-30,22,3.8,45.4,26,12,189.77,1.31,0.66,637200
2000-12-01,22,2.46,0.8,26,12,189.77,1.31,0.66,637200
2000-12-02,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-12-03,22,3.32,0,26,12,189.77,1.31,0.66,637200
2000-12-04,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-12-05,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-12-06,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-12-07,22,3.97,0,26,12,189.77,1.31,0.66,637200
2000-12-08,22,4.55,0,26,12,189.77,1.31,0.66,637200
2000-12-09,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-12-10,22,4.14,0,26,12,189.77,1.31,0.66,637200
2000-12-11,22,4.85,0,26,12,189.77,1.31,0.66,637200
2000-12-12,22,4.31,0,26,12,189.77,1.31,0.66,637200
2000-12-13,22,3.8,8.6,26,12,189.77,1.31,0.66,637200
2000-12-14,22,4.31,30.4,26,12,189.77,1.31,0.66,637200
