Datetime,Irrigation_A_3,Rural_2,Irrigation_A_1,Rural_1,Irrigation_A_2,Supply_city,L_34
2000-06-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,5814104.07886
2000-07-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,5517244.783729999
2000-08-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,4107776.2788600004
2000-09-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,2309079.639360001
2000-10-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,2491221.9164299998
2000-11-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999995,2234267.74219
2000-12-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0000000005,2151250.8188699996
2001-01-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0000000005,2124450.5598800005
2001-02-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,2101210.51209
2001-03-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0000000002,2660386.7174299997
2001-04-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,3251890.9129
2001-05-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,5747556.1427099975
2001-06-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,5015357.753349998
2001-07-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,5615712.7734699985
2001-08-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0000000002,3408682.16868
2001-09-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0000000002,2142040.44394
2001-10-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999995,2545686.8639400005
2001-11-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,2072104.87389
2001-12-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,2006290.335965
2002-01-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,2075852.10534
2002-02-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,1978425.0633800002
2002-03-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,1907800.356067
2002-04-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,3388299.3943599993
2002-05-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,3411100.4780800003
2002-06-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999995,8189692.75735
2002-07-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,5447282.13115
2002-08-01T00:00:00,59615.999999999985,1008.0,36287.99999999999,3024.0000000000005,72576.0,1607040.0000000002,2723660.0205499995
2002-09-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0000000005,2723296.7661000006
2002-10-01T00:00:00,59616.00000000001,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,2149625.7111799996
2002-11-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999995,2039396.04606
2002-12-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999995,1973415.31519
2003-01-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,1935484.19559
2003-02-01T00:00:00,59615.999999999985,1008.0,36287.99999999999,3024.0000000000005,72576.0,1607039.9999999995,1897846.824601
2003-03-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0000000002,2133421.6121699996
2003-04-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.999999999,2292431.2202
2003-05-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999995,3549637.3172099995
2003-06-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,4189397.20253
2003-07-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,4909373.594340002
2003-08-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999995,2754782.296069999
2003-09-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999995,3338271.6249
2003-10-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,3267534.625109999
2003-11-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999995,2266424.09872
2003-12-01T00:00:00,59616.0,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999998,2163148.4477
2004-01-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607040.0,2021842.87373
2004-02-01T00:00:00,59615.999999999985,1008.0,36288.0,3024.0000000000005,72576.0,1607039.9999999995,1933005.3368999995
