	0
0	1.4551915228366852e-11
1	1.4551915228366852e-11
2	1.4551915228366852e-11
3	1.4551915228366852e-11
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	1.4551915228366852e-11
10	0.0
11	1.4551915228366852e-11
12	0.0
13	1.4551915228366852e-11
14	1.4551915228366852e-11
15	0.0
16	1.4551915228366852e-11
17	1.4551915228366852e-11
18	0.0
19	0.0
20	0.0
21	1.4551915228366852e-11
22	1.4551915228366852e-11
23	1.4551915228366852e-11
24	1.4551915228366852e-11
25	0.0
26	1.4551915228366852e-11
27	1.4551915228366852e-11
28	-7.275957614183426e-12
29	1.4551915228366852e-11
30	0.0
31	0.0
32	1.4551915228366852e-11
33	1.4551915228366852e-11
34	1.4551915228366852e-11
35	0.0
36	1.4551915228366852e-11
37	1.4551915228366852e-11
38	1.4551915228366852e-11
39	1.4551915228366852e-11
40	0.0
41	0.0
42	0.0
43	1.4551915228366852e-11
44	1.4551915228366852e-11
45	0.0
46	1.4551915228366852e-11
47	1.4551915228366852e-11
48	1.4551915228366852e-11
49	1.4551915228366852e-11
50	1.4551915228366852e-11
51	0.0
52	0.0
53	0.0
54	0.0
55	0.0
56	1.4551915228366852e-11
57	1.4551915228366852e-11
58	0.0
59	0.0
60	1.4551915228366852e-11
61	1.4551915228366852e-11
62	1.4551915228366852e-11
63	0.0
64	1.4551915228366852e-11
65	0.0
66	1.4551915228366852e-11
67	1.4551915228366852e-11
68	0.0
69	0.0
70	0.0
71	0.0
72	1.4551915228366852e-11
73	1.4551915228366852e-11
74	1.4551915228366852e-11
75	0.0
76	0.0
77	0.0
78	1.4551915228366852e-11
79	-7.275957614183426e-12
80	0.0
81	0.0
82	1.4551915228366852e-11
83	0.0
84	1.4551915228366852e-11
85	1.4551915228366852e-11
86	1.4551915228366852e-11
87	0.0
88	0.0
89	0.0
90	1.4551915228366852e-11
91	1.4551915228366852e-11
92	1.4551915228366852e-11
93	1.4551915228366852e-11
94	1.4551915228366852e-11
95	0.0
96	1.4551915228366852e-11
97	1.4551915228366852e-11
98	0.0
99	1.4551915228366852e-11
100	0.0
101	0.0
102	0.0
103	1.4551915228366852e-11
104	0.0
105	1.4551915228366852e-11
106	1.4551915228366852e-11
107	1.4551915228366852e-11
108	1.4551915228366852e-11
109	1.4551915228366852e-11
110	0.0
111	1.4551915228366852e-11
112	0.0
113	0.0
114	0.0
115	0.0
116	0.0
117	0.0
118	1.4551915228366852e-11
119	1.4551915228366852e-11
120	1.4551915228366852e-11
121	1.4551915228366852e-11
122	1.4551915228366852e-11
