Datetime,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2000-06-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2000-07-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2000-08-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2000-09-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2000-10-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2000-11-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2000-12-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-01-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-02-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-03-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-04-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-05-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-06-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-07-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-08-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-09-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-10-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-11-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2001-12-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2002-01-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2002-02-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2002-03-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
2002-04-01T00:00:00,14999.999999999998,2142.00006,270.0,420.0,75.0,255.0,105.0,33.0,2373.0,900.0,6377.999999999999,19878.0,6102.0,2547.0,1200.0,2142.0,2142.0,60.00000000000001,600.0,599.9999999999999
