	0
0	1.4551915228366852e-11
1	1.4551915228366852e-11
2	1.4551915228366852e-11
3	1.4551915228366852e-11
4	1.4551915228366852e-11
5	1.4551915228366852e-11
6	0.0
7	1.4551915228366852e-11
8	1.4551915228366852e-11
9	1.4551915228366852e-11
10	1.4551915228366852e-11
11	1.4551915228366852e-11
12	1.4551915228366852e-11
13	1.4551915228366852e-11
14	1.4551915228366852e-11
15	1.4551915228366852e-11
16	1.4551915228366852e-11
17	1.4551915228366852e-11
18	1.4551915228366852e-11
19	0.0
20	1.4551915228366852e-11
21	2.9103830456733704e-11
22	1.4551915228366852e-11
23	1.4551915228366852e-11
24	1.4551915228366852e-11
25	1.4551915228366852e-11
26	1.4551915228366852e-11
27	1.4551915228366852e-11
28	1.4551915228366852e-11
29	1.4551915228366852e-11
30	0.0
31	1.4551915228366852e-11
32	0.0
33	1.4551915228366852e-11
34	1.4551915228366852e-11
35	1.4551915228366852e-11
36	1.4551915228366852e-11
37	1.4551915228366852e-11
38	1.4551915228366852e-11
39	1.4551915228366852e-11
40	1.4551915228366852e-11
41	1.4551915228366852e-11
42	1.4551915228366852e-11
43	0.0
44	1.4551915228366852e-11
45	1.4551915228366852e-11
46	1.4551915228366852e-11
47	1.4551915228366852e-11
48	1.4551915228366852e-11
49	1.4551915228366852e-11
50	1.4551915228366852e-11
51	1.4551915228366852e-11
52	1.4551915228366852e-11
53	1.4551915228366852e-11
54	1.4551915228366852e-11
55	2.9103830456733704e-11
56	1.4551915228366852e-11
57	1.4551915228366852e-11
58	1.4551915228366852e-11
59	1.4551915228366852e-11
60	1.4551915228366852e-11
61	1.4551915228366852e-11
62	1.4551915228366852e-11
63	2.9103830456733704e-11
64	1.4551915228366852e-11
65	1.4551915228366852e-11
66	1.4551915228366852e-11
67	0.0
68	0.0
69	1.4551915228366852e-11
70	1.4551915228366852e-11
71	1.4551915228366852e-11
72	1.4551915228366852e-11
73	1.4551915228366852e-11
74	1.4551915228366852e-11
75	1.4551915228366852e-11
76	1.4551915228366852e-11
77	1.4551915228366852e-11
78	1.4551915228366852e-11
79	1.4551915228366852e-11
80	1.4551915228366852e-11
81	1.4551915228366852e-11
82	1.4551915228366852e-11
83	1.4551915228366852e-11
84	1.4551915228366852e-11
85	1.4551915228366852e-11
86	1.4551915228366852e-11
87	1.4551915228366852e-11
88	1.4551915228366852e-11
89	1.4551915228366852e-11
90	1.4551915228366852e-11
91	2.9103830456733704e-11
92	1.4551915228366852e-11
93	1.4551915228366852e-11
94	1.4551915228366852e-11
95	1.4551915228366852e-11
96	1.4551915228366852e-11
97	1.4551915228366852e-11
98	1.4551915228366852e-11
99	1.4551915228366852e-11
100	1.4551915228366852e-11
101	1.4551915228366852e-11
102	1.4551915228366852e-11
103	1.4551915228366852e-11
104	1.4551915228366852e-11
105	1.4551915228366852e-11
106	1.4551915228366852e-11
107	1.4551915228366852e-11
108	1.4551915228366852e-11
109	1.4551915228366852e-11
110	1.4551915228366852e-11
111	1.4551915228366852e-11
112	1.4551915228366852e-11
113	0.0
114	1.4551915228366852e-11
115	1.4551915228366852e-11
116	1.4551915228366852e-11
117	1.4551915228366852e-11
118	1.4551915228366852e-11
119	1.4551915228366852e-11
120	1.4551915228366852e-11
121	1.4551915228366852e-11
122	1.4551915228366852e-11
