Datetime,Irrigation_A_3,Rural_2,Irrigation_A_1,Rural_1,Irrigation_A_2,Supply_city,L_34
2000-06-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000007,5814104.07886
2000-07-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,5517244.783729999
2000-08-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,4107776.2788600004
2000-09-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,2309079.639360001
2000-10-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,2491221.9164299993
2000-11-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,2234267.7421899997
2000-12-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72576.0,1607040.0,2151250.8188699996
2001-01-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,2124450.55988
2001-02-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000005,2101210.5120900003
2001-03-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,2660386.7174299997
2001-04-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607039.9999999998,3251890.9129
2001-05-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,5747556.142709998
2001-06-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,5015357.753349999
2001-07-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,5615712.773469999
2001-08-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,3408682.1686800006
2001-09-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,2142040.4439399997
2001-10-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,2545686.86394
2001-11-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,2072104.8738899997
2001-12-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607039.9999999995,2006290.3359649994
2002-01-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72576.0,1607040.0000000007,2075852.10534
2002-02-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000005,1978425.0633800002
2002-03-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999997,1607040.0000000007,1907800.356067
2002-04-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,3388299.39436
2002-05-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000007,3411100.4780800007
2002-06-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000007,8189692.75735
2002-07-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,5447282.13115
2002-08-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,2723660.02055
2002-09-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000007,2723296.7661000006
2002-10-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,2149625.7111799996
2002-11-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,2039396.04606
2002-12-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72576.0,1607040.0,1973415.31519
2003-01-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,1935484.1955900004
2003-02-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72576.0,1607040.0000000002,1897846.824601
2003-03-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607039.9999999998,2133421.6121699996
2003-04-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607039.9999999995,2292431.2201999994
2003-05-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,3549637.31721
2003-06-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,4189397.2025300004
2003-07-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,4909373.594340001
2003-08-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0,2754782.2960699997
2003-09-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000005,3338271.6249
2003-10-01T00:00:00,59615.99999999999,1008.0000000000001,36287.99999999999,3024.0,72575.99999999999,1607040.0000000002,3267534.625109999
